,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
430,n_15775_solar,solar,n_15775,DUK,27.5,0.009997091755125781
431,n_15777_solar,solar,n_15777,DUK,79.8,0.02900974262032863
432,n_15782_solar,solar,n_15782,DUK,20.3,0.0073796713683292135
433,n_16281_solar,solar,n_16281,DUK,1.1,0.00039988367020503125
434,n_16404_solar,solar,n_16404,CPLE,39.5,0.013960063615479766
435,n_16911_solar,solar,n_16911,CPLE,75.9,0.026824527301643402
436,n_17072_solar,solar,n_17072,DUK,4.9,0.0017812999854587756
437,n_17163_solar,solar,n_17163,CPLE,43.2,0.015267715144018378
438,n_18277_solar,solar,n_18277,CPLE,75.0,0.026506449902809683
439,n_18283_solar,solar,n_18283,CPLE,2.0,0.0007068386640749249
440,n_18296_solar,solar,n_18296,DUK,3.0,0.0010905918278319034
441,n_18302_solar,solar,n_18302,DUK,12.8,0.004653191798749455
442,n_1850_solar,solar,n_1850,DUK,26.0,0.00945179584120983
443,n_1851_solar,solar,n_1851,DUK,10.0,0.003635306092773011
444,n_18688_solar,solar,n_18688,CPLE,10.0,0.0035341933203746245
445,n_18693_solar,solar,n_18693,CPLE,2.0,0.0007068386640749249
446,n_18696_solar,solar,n_18696,CPLE,10.0,0.0035341933203746245
447,n_18698_solar,solar,n_18698,DUK,5.0,0.0018176530463865056
448,n_18710_solar,solar,n_18710,CPLE,19.2,0.006785651175119279
449,n_18866_solar,solar,n_18866,CPLE,10.0,0.0035341933203746245
450,n_18868_solar,solar,n_18868,CPLE,18.8,0.006644283442304295
451,n_18870_solar,solar,n_18870,DUK,8.4,0.0030536571179293295
452,n_1924_solar,solar,n_1924,CPLE,149.3,0.052765506273193145
453,n_22541_solar,solar,n_22541,CPLE,14.0,0.004947870648524475
454,n_22589_solar,solar,n_22589,CPLE,5.0,0.0017670966601873123
455,n_22591_solar,solar,n_22591,DUK,12.8,0.004653191798749455
456,n_22592_solar,solar,n_22592,CPLE,20.0,0.007068386640749249
457,n_22602_solar,solar,n_22602,DUK,3.5,0.0012723571324705538
458,n_22612_solar,solar,n_22612,CPLE,19.2,0.006785651175119279
459,n_22818_solar,solar,n_22818,CPLE,9.0,0.003180773988337162
460,n_23599_solar,solar,n_23599,CPLE,10.0,0.0035341933203746245
461,n_23600_solar,solar,n_23600,CPLE,24.0,0.0084820639688991
462,n_23772_solar,solar,n_23772,CPLE,1.9,0.0006714967308711786
463,n_23776_solar,solar,n_23776,DUK,24.4,0.008870146866366146
464,n_23777_solar,solar,n_23777,CPLE,29.4,0.010390528361901396
465,n_23779_solar,solar,n_23779,CPLW,5.0,0.1322751322751323
466,n_23782_solar,solar,n_23782,CPLE,31.9,0.011274076691995052
467,n_23786_solar,solar,n_23786,CPLE,5.0,0.0017670966601873123
468,n_23789_solar,solar,n_23789,DUK,70.0,0.02544714264941108
469,n_23790_solar,solar,n_23790,CPLE,5.0,0.0017670966601873123
470,n_23792_solar,solar,n_23792,CPLE,4.9,0.001731754726983566
471,n_23793_solar,solar,n_23793,DUK,80.5,0.02926421404682274
472,n_23819_solar,solar,n_23819,CPLE,4.0,0.0014136773281498499
473,n_23847_solar,solar,n_23847,CPLW,19.6,0.5185185185185186
474,n_23848_solar,solar,n_23848,DUK,26.4,0.009597208084920749
475,n_23849_solar,solar,n_23849,DUK,10.0,0.003635306092773011
476,n_28211_solar,solar,n_28211,CPLE,24.0,0.0084820639688991
477,n_28295_solar,solar,n_28295,DUK,2.0,0.0007270612185546022
478,n_28296_solar,solar,n_28296,DUK,1.0,0.0003635306092773011
479,n_28298_solar,solar,n_28298,DUK,2.0,0.0007270612185546022
480,n_28303_solar,solar,n_28303,DUK,3.0,0.0010905918278319034
481,n_28601_solar,solar,n_28601,CPLW,13.2,0.3492063492063492
482,n_28635_solar,solar,n_28635,DUK,1.0,0.0003635306092773011
483,n_28662_solar,solar,n_28662,CPLE,2.0,0.0007068386640749249
484,n_28666_solar,solar,n_28666,DUK,2.8,0.0010178857059764432
485,n_28671_solar,solar,n_28671,CPLE,4.0,0.0014136773281498499
486,n_28698_solar,solar,n_28698,DUK,4.5,0.0016358877417478551
487,n_28700_solar,solar,n_28700,DUK,17.5,0.00636178566235277
488,n_28710_solar,solar,n_28710,DUK,29.9,0.010869565217391302
