Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2
PP_58493,4,SOLAR,-78.250833,35.948056,POINT (-78.250833 35.948056),yellow,CPLE,281,CPLE,n_12414,n_12414,No,CPLE,0.157607515,0.157607515
PP_58494,3.5,SOLAR,-79.0975,34.476111,POINT (-79.0975 34.476111),yellow,CPLE,839,CPLE,n_23776,n_23776,No,CPLE,0.106982751,0.106982751
PP_58495,3.5,SOLAR,-79.353889,34.714167,POINT (-79.353889 34.714167),yellow,CPLE,876,CPLE,n_9852,n_9852,No,CPLE,0.053546618,0.053546618
PP_62095,4.5,SOLAR,-77.642,34.437,POINT (-77.642 34.437),yellow,CPLE,180,CPLE,n_9837,n_9837,No,CPLE,0.066423324,0.066423324
PP_6438,1.4,HYDRO,-83.676016,35.27127,POINT (-83.676016 35.27127),royalblue,DUK,361,DUK,n_13721,n_1063,Yes,DUK,0.541071467,0.461585725
PP_59506,4,SOLAR,-78.8078,35.0717,POINT (-78.8078 35.0717),yellow,CPLE,306,CPLE,n_7619,n_7619,No,CPLE,0.033773126,0.033773126
PP_56966,3.9,SOLAR,-77.6731,35.9222,POINT (-77.6731 35.9222),yellow,PJM,140,CPLE,n_6663,n_6663,No,CPLE,0.10195107,0.10195107
PP_58274,5,SOLAR,-79.211944,34.968889,POINT (-79.211944 34.968889),yellow,CPLE,324,CPLE,n_9887,n_9887,No,CPLE,0.057901841,0.057901841
PP_58316,5,SOLAR,-78.970833,34.82,POINT (-78.970833 34.82),yellow,CPLE,212,CPLE,n_15226,n_15226,No,CPLE,0.143299325,0.143299325
PP_61095,5,SOLAR,-78.950494,34.807903,POINT (-78.950494 34.807903),yellow,CPLE,212,CPLE,n_9822,n_9822,No,CPLE,0.154075076,0.154075076
PP_63381,4.1,SOLAR,-79.185,34.68056,POINT (-79.185 34.68056),yellow,CPLE,877,CPLE,n_23777,n_23777,No,CPLE,0.081509401,0.081509401
PP_58810,5,SOLAR,-77.316111,35.64,POINT (-77.316111 35.64),yellow,CPLE,502,CPLE,n_23786,n_23786,No,CPLE,0.02759781,0.02759781
